scorer,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000,DLC_resnet50_openfieldOct30shuffle1_6000
bodyparts,snout,snout,snout,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,,72.50476837158203,101.98880004882812,0.9632319211959839,87.57228088378906,94.42741394042969,0.9844024777412415,142.51271057128906,181.9264678955078,0.9383444786071777
1,,,,75.58369445800781,102.48472595214844,0.9712363481521606,85.72589111328125,91.63892364501953,0.9915583729743958,138.1837615966797,183.68692016601562,0.9396910071372986
2,76.200439453125,80.73660278320312,0.9679659008979797,74.69361877441406,99.48402404785156,0.9738993644714355,83.60499572753906,88.49303436279297,0.9946838617324829,139.941162109375,180.55892944335938,0.9638555645942688
3,73.1797103881836,77.5060043334961,0.965151309967041,73.02619171142578,96.33214569091797,0.9655071496963501,82.43607330322266,84.712646484375,0.9953864812850952,143.62010192871094,177.17529296875,0.9852927923202515
4,71.91339874267578,74.19901275634766,0.9600687026977539,70.51329040527344,94.48418426513672,0.9444162845611572,83.06743621826172,81.54182434082031,0.9933290481567383,146.89231872558594,173.29721069335938,0.9747762084007263
5,70.94527435302734,74.20635223388672,0.9618735313415527,73.55026245117188,91.63614654541016,0.9529184103012085,81.83634948730469,76.63304901123047,0.9798414707183838,148.91812133789062,168.49163818359375,0.990829348564148
6,70.5101547241211,70.49667358398438,0.9645704030990601,73.44258117675781,90.58677673339844,0.9618666172027588,82.3392333984375,76.15754699707031,0.9852707982063293,151.9949493408203,163.5886993408203,0.9894626140594482
7,74.24070739746094,70.68375396728516,0.964706301689148,74.71222686767578,89.7899169921875,0.9658606052398682,83.9161148071289,75.59705352783203,0.9899803996086121,154.07972717285156,159.2093048095703,0.9719424843788147
8,76.83279418945312,70.17467498779297,0.9655113220214844,76.72395324707031,88.98489379882812,0.9702745676040649,85.85139465332031,75.50205993652344,0.9915454387664795,154.57431030273438,154.3169708251953,0.9819613099098206
9,78.28466033935547,65.16410064697266,0.9738032817840576,72.54206085205078,82.48468017578125,0.9686617851257324,88.54978942871094,74.11701202392578,0.9935641288757324,154.75778198242188,150.42086791992188,0.9871481657028198
10,80.36097717285156,64.65126037597656,0.9730323553085327,74.18732452392578,80.08860778808594,0.9652969837188721,90.65692901611328,72.42908477783203,0.9905493259429932,157.3941192626953,145.96482849121094,0.9922674894332886
11,81.18690490722656,64.36451721191406,0.9731963872909546,76.8696517944336,78.21633911132812,0.9620903134346008,92.02328491210938,70.8517837524414,0.9849939346313477,160.1050262451172,142.3173065185547,0.9909345507621765
12,83.82421875,63.720760345458984,0.9653592109680176,80.91192626953125,79.61939239501953,0.9474859237670898,93.045654296875,67.65054321289062,0.9856365919113159,162.03973388671875,143.402099609375,0.9841061234474182
13,87.00018310546875,62.39409255981445,0.9545547366142273,84.74947357177734,78.95222473144531,0.9370344281196594,96.56353759765625,66.55608367919922,0.9917576313018799,164.73727416992188,142.2405548095703,0.9810601472854614
14,88.39752197265625,61.819766998291016,0.9465045928955078,88.28269958496094,78.2149658203125,0.9350851774215698,99.97821807861328,65.40939331054688,0.9910557866096497,167.29312133789062,141.5256805419922,0.9747806787490845
15,93.97280883789062,62.058719635009766,0.9452725648880005,90.04049682617188,76.4637680053711,0.9220809936523438,102.13041687011719,64.11060333251953,0.9869958162307739,168.72975158691406,140.64447021484375,0.9757872819900513
16,94.63988494873047,61.79219436645508,0.9474852681159973,89.63204193115234,76.60563659667969,0.9225527048110962,103.79405975341797,63.70677947998047,0.9837249517440796,172.16046142578125,139.86480712890625,0.9818187952041626
17,94.47235107421875,61.60225296020508,0.9475345611572266,90.778076171875,73.80235290527344,0.9347946047782898,103.81851196289062,62.46031188964844,0.9836045503616333,175.17758178710938,139.03811645507812,0.9894459247589111
18,93.68782806396484,61.752532958984375,0.9452728033065796,91.04083251953125,73.98725891113281,0.9443290829658508,103.205078125,62.05181884765625,0.9847253561019897,177.005615234375,137.8585968017578,0.9921705722808838
19,93.1173324584961,63.007938385009766,0.9457592368125916,91.7266616821289,74.2369613647461,0.9408726692199707,103.19108581542969,62.01789093017578,0.9842137098312378,177.29061889648438,135.7761993408203,0.9934760332107544
20,92.6947021484375,64.09089660644531,0.9414563775062561,91.05624389648438,75.74091339111328,0.9322459697723389,102.90756225585938,62.7219123840332,0.9832955598831177,177.97509765625,134.00482177734375,0.9933671951293945
21,93.94068145751953,62.44578170776367,0.9430121183395386,91.04936981201172,75.5536880493164,0.9504414796829224,102.98336791992188,64.3360824584961,0.9851182699203491,177.99917602539062,133.21994018554688,0.989460825920105
22,94.30391693115234,64.06043243408203,0.954404354095459,91.79496002197266,76.9783706665039,0.9632531404495239,103.32324981689453,65.61382293701172,0.9893418550491333,181.07728576660156,131.91798400878906,0.9900274276733398
23,94.52191162109375,64.87381744384766,0.9580641984939575,92.5244369506836,77.95258331298828,0.9692002534866333,103.81090545654297,65.98038482666016,0.9913358688354492,184.61077880859375,132.17306518554688,0.9887490272521973
24,92.18705749511719,65.21842956542969,0.9685947299003601,94.20943450927734,80.73600006103516,0.9717342853546143,104.96011352539062,66.14884185791016,0.9925543069839478,186.53192138671875,132.5716094970703,0.9862362146377563
25,93.65003204345703,66.36686706542969,0.9791719913482666,99.59434509277344,81.9862060546875,0.9751446843147278,106.61590576171875,67.50934600830078,0.9926591515541077,187.71531677246094,132.92222595214844,0.9809931516647339
26,94.29222106933594,67.62479400634766,0.9815989136695862,100.9783706665039,84.19950103759766,0.9842715263366699,107.4991226196289,68.78275299072266,0.9904735088348389,188.50991821289062,133.92433166503906,0.9754524230957031
